t,x_dot,y_dot
9.74,-0.39465261681526087,-1.0598820889240579
9.76,-0.3046162501699867,-0.7916458178831021
9.78,-0.20880467609980524,-0.5255242999463672
9.8,-0.4176093521996327,-1.051048599892812
9.82,-0.264573808040347,-0.6554764853937911
9.84,-0.32176073861646115,-0.784833860077605
9.86,-0.38036062720542274,-0.913584856469285
9.88,-0.33875302729518,-0.777650658932294
9.9,-0.28581364557881406,-0.6464977051823695
9.92,-0.34718958201793715,-0.7739208971061617
9.94,-0.409957945485695,-0.9006919449130457
9.96,-0.2928271039183472,-0.6433513892236009
9.98,-0.3639385238604964,-0.7661872562824801
10.0,-0.3067493070664562,-0.6368308923249688
